sehir,isim,adres
Konya,"
Hotel Sato
",İstanbul Cad. Menemen Sok. No 17 Karatay Merkez
Ilgin,"
Grand İpek Palas Termal Hotel
",Ilıca Mah. Kaplıca Civarı Mevki Ilgın Merkez
Konya,"
Hotel Bella
","Aziziye Cad. No:19 Karatay Merkez, Karatay"
Konya,"
Mevlevi Hotel
",Aziziye Mah. Cengaver Sok No:1 Karatay / Konya
Konya,"
Mevlana Sema Otel
","Mevlana Cad. No:67 Karatay Merkez, Karatay"
Konya,"
Otel Bey
",Yeni Aziziye Cad. Ayan Bey Sok. No 4 Karatay Merkez
Konya,"
Otel Mevlana
",İstanbul Cad. İstanbul Sok. No:2 Konya Merkez
Konya,"
Nil Otel
",Kayali Park Civari Iplikci Cami Arkasi
Konya,"
Otel Derya
","Aziziye Mah. Ayan Bey Sok. No:15 Karatay Merkez, Karatay"
Konya,"
Konya Dervish Otel
",Aziziye Mah Gungor Sk. No: 7
Konya,"
Deluxe Hotel
",Aziziye Mah Ayan Bey Sokak No 22
Konya,"
Augustus Boutique Hotel
",Seyh Sadrettin Mah Alay Cad No: 8
Konya,"
Mesnevi Hotel
",Aziziye Mahallesi Ayanbey Sokak No: 23
Konya,"
Hotel Anı
",Şems Cad. No:8
Konya,"
Yeni Köşk Esra Hotel
","Aziziye Mah. Kadılar 2 Sok. No:7 Karatay Merkez, Karatay"
Meram,"
Sema Hotel
",Yeni Meram Yolu No:2 Meram Merkez
Konya,"
Adnan Bey Hotel
",Nakipoğgu Mh.SultanVeled Cd.No:6
Boğazkent,"
Club Victoria Hotel
",seaside
Konya,"
Baykara Hotel
","İstanbul Cad. No:133 Karatay Merkez, Karatay"
Konya,"
Hotel Ozkaymak Konya
",Nakaci Caddesi No 92
Boğazkent,"
Vera Club Hotel Paradiso
",Bogazkent Belek Serik
Konya,"
Hotel Ottoman
",Şemsi Mah.Kazanli Sk.No:13
Konya,"
Meram Park Hotel
",Sukran Mah. Aladdin Bulvari No:33
Beyşehir,"
Anadolu Penta Hotel
",Icerisehir Mah.Sarkikaraagac Cad.No:29 Beysehir
Konya,"
Özkaymak Park Otel
","Ferit Paşa Mah. Gürağaç Sok. No:1 Nalçacı, Selçuklu"
Konya,"
Otel Selçuk
","Şans Mah. Alaaddin Cad. Mazhar Babalık Sok. No:4 Karatay Merkez, Karatay"
Eregli,"
Mirel Hotel
",İnönü Caddesi No:35
Konya,"
Hotel Balikcilar
",Mevlana Türbesi Cad. No 2
Konya,"
Demosan City Hotel
",Fatih Mahallesi Cevre Yolu Caddesi No:120
Konya,"
Otel Ulusan Konuk Evi
",Şükran Mah. Kurşuncular Sok. No:4 Meram Merkez
Konya,"
Gherdan Otel
",Doc. Dr. Halil Urun Caddesi
Beyşehir,"
Ali Bilir Otel
",Dalyan Mh. Bilir Sk. No:1
Konya,"
Otel Selcuk Sems-i Tebrizi
",Sems-i Tebrizi Mah. Mevlana Cad. Kazanli Sk. No: 6
Konya,"
Pasapark Hotel
",Semsi Tebrizi Mah. Sultan Veled Cad. No 3
Boğazkent,"
Aydinbey Famous Resort
",Bogazkoy Mevkii Serik
Konya,"
Anemon Konya
","Iklar Mahallesi Belen Sokak 3, Selcuklu"
Konya,"
Dündar Otel
",Ferit Paşa Mah. Kerkük Cad. No:30/A
Konya,"
Hotel Rumi
",Aziziye Mh. Fakih Sk. No 3
