sehir,isim,ilce,adres
Şanlıurfa,"
Dedeman Şanlıurfa
",Şanlıurfa Otelleri,"Atatürk Mah. Hastane Cad. Valilik, Şanlıurfa Merkez"
Şanlıurfa,"
Hotel Arte
",Şanlıurfa Otelleri,Ataturk Bulvari Sinema Sokak
Şanlıurfa,"
El Ruha Hotel
",Şanlıurfa Otelleri,Balıklıgöl Yeni Mah. Lekler Cad. No:240
Şanlıurfa,"
Edessa City Hotel
",Şanlıurfa Otelleri,Balikli Gol Cad Balikligol Yani F/ 30
Şanlıurfa,"
Hilton Garden Inn
",Şanlıurfa Otelleri,"Karakoyun Mah. 11 Nisan Fuar Cad. No:54 Valilik, Şanlıurfa Merkez"
Konya,"
Saray Otel
",Konya Otelleri,"Şerafettin Cad. No:18 Karatay Merkez, Karatay"
Konya,"
Hotel Sato
",Konya Otelleri,İstanbul Cad. Menemen Sok. No 17 Karatay Merkez
Ilgin,"
Grand İpek Palas Termal Hotel
",Ilgin Otelleri,Ilıca Mah. Kaplıca Civarı Mevki Ilgın Merkez
Konya,"
Hotel Bella
",Konya Özel Konaklamalar,"Aziziye Cad. No:19 Karatay Merkez, Karatay"
Konya,"
Mevlevi Hotel
",Konya Oda ve Kahvaltı / Pansiyon,Aziziye Mah. Cengaver Sok No:1 Karatay / Konya
Konya,"
Mevlana Sema Otel
",Konya Otelleri,"Mevlana Cad. No:67 Karatay Merkez, Karatay"
Konya,"
Otel Bey
",Konya Oda ve Kahvaltı / Pansiyon,Yeni Aziziye Cad. Ayan Bey Sok. No 4 Karatay Merkez
Konya,"
Otel Mevlana
",Konya Oda ve Kahvaltı / Pansiyon,İstanbul Cad. İstanbul Sok. No:2 Konya Merkez
Konya,"
Nil Otel
",Konya Oda ve Kahvaltı / Pansiyon,Kayali Park Civari Iplikci Cami Arkasi
Konya,"
Otel Derya
",Konya Oda ve Kahvaltı / Pansiyon,"Aziziye Mah. Ayan Bey Sok. No:15 Karatay Merkez, Karatay"
Konya,"
Konya Dervish Otel
",Konya Oda ve Kahvaltı / Pansiyon,Aziziye Mah Gungor Sk. No: 7
Konya,"
Deluxe Hotel
",Konya Oda ve Kahvaltı / Pansiyon,Aziziye Mah Ayan Bey Sokak No 22
Konya,"
Augustus Boutique Hotel
",Konya Oda ve Kahvaltı / Pansiyon,Seyh Sadrettin Mah Alay Cad No: 8
Konya,"
Mesnevi Hotel
",Konya Özel Konaklamalar,Aziziye Mahallesi Ayanbey Sokak No: 23
Konya,"
Hotel Anı
",Konya Oda ve Kahvaltı / Pansiyon,Şems Cad. No:8
Konya,"
Yeni Köşk Esra Hotel
",Konya Otelleri,"Aziziye Mah. Kadılar 2 Sok. No:7 Karatay Merkez, Karatay"
