sehir,isim,ilce,adres
Diyarbakır,"
Derya Hotel
",Diyarbakır,Inonu Cad. No.13
Diyarbakır,"
Dedeman Diyarbakır
",Diyarbakır,Elazığ Cad. Diyarbakır Merkez
Diyarbakır,"
Hotel Seker
",Diyarbakır,Inonu Caddesi No 19
Diyarbakır,"
Surkent Otel
",Diyarbakır,Dağkapı Mah. Hz. Süleyman Cad. No:19 Diyarbakır Merkez
Diyarbakır,"
Liluz Hotel
",Diyarbakır,Hz. Suleyman Cd. No:8
Diyarbakır,"
Hilton Garden Inn Diyarbakir
",Diyarbakır,Yenisehir Mah. Dr. Seref Inaloz Cad
Diyarbakır,"
Dies Hotel
",Diyarbakır,Ali Emri 6. Sok. NO:11/A
Bursa,"
Huzur Termal Otel
",Bursa,Çekirge Mah. 1 Murat Cad. No. 31
Bursa,"
Uslan Hotel
",Bursa,Gelisim Bolgesi Uludag
Bursa,"
Hotel Kirci
",Bursa,Cekirge Cd. No 21
Bursa,"
Genç Yazıcı Otel
",Bursa,1. Gelişim Oteller Bölgesi
Bursa,"
Black Cloud Hotel
",Bursa,Ulubatl_ Hasan Bulvar_ No : 33 Osmangazi
Bursa,"
Grand Yazıcı Hotel
",Bursa,1. Gelişim Bölgesi Uludağ
Bursa,"
Hotel Buyukyildiz
",Bursa,Uludag Caddesi no 16
Bursa,"
Atlas Hotel
",Bursa,Hamamlar Cad. No:29
Bursa,"
Adapalas Otel
",Bursa,1. Murat Cad. No:21
Osmangazi,"
Grand Heykel Hotel
",Osmangazi,Ressam Sefik Bursali Cd. No:30
Bursa,"
Hotel Bursa City
",Bursa,Sehrekustu Mah Durak Cad No: 15 Osmangazi
Bursa,"
Gorukle Oruc Hotel & Spa
",Bursa,Dumlupinar Mahallesi Iskele Sokak No. 13
Bursa,"
Hotel Gönlüferah City
",Bursa,1. Murat Cad. No: 20
Bursa,"
Hotel Anatolia
",Bursa,Zubeyde Hanim Caddesi
Bursa,"
Kervansaray Termal Hotel
",Bursa,"Çekirge Meydanı Çekirge, Osmangazi"
Bursa,"
Kardes Hotel
",Bursa,Ahmetpasa mah. Nedim Sokak No:17/E Osmangazi
Bursa,"
Central Hotel Bursa
",Bursa,Ulubatli Hasan Bulvari 55
Bursa,"
Safran Hotel
",Bursa,Ortapazar Cadessi
Bursa,"
Otantik Club Hotel
",Bursa,Otantik Club Hotel Botanik Parkı
Bursa,"
Burcman Hotel
",Bursa,Uluyol Kibris sehitleri Cad. No:16
Bursa,"
Baia Hotel Bursa
",Bursa,Yeni Yalova Yolu 9 Km
Bursa,"
Gold Majesty Hotel
",Bursa,Konak Mahallesi Lefkose Caddesi No:7 Nilufer/Bursa
Bursa,"
Tuğçu Otel
",Bursa,"Celal Bayar Cad. No:195, Osmangazi Merkez"
Bursa,"
Bursa Palas Hotel
",Bursa,Cakirhamam Tahtakale Mahallesi Okul Sokak 13/A
Bursa,"
Gönlüferah Otel
",Bursa,1. Murat Cad. No:22
Bursa,"
Hotel Çelik Palas
",Bursa,Çekirge Cad. No:79
Bursa,"
Boyuguzel Termal Hotel
",Bursa,Uludag Caddesi selvi Sokak no:10
Bursa,"
Marigold Termal & Spa Hotel
",Bursa,1 Murat Cad. No.47
Bursa,"
Tiara Termal Hotel
",Bursa,"Cekirge Mah. 1, Murat Cad. No: 5"
Bursa,"
Sheraton Bursa Hotel
",Bursa,Odunluk Mahallesi Akpınar Caddesi
Bursa,"
Almira Hotel
",Bursa,Ulubatli Hasan Bulvar No:5
Bursa,"
Divan Bursa
",Bursa,Kükürtlü Mah. Dr. Rüştü Burlu Cad. No:11
Bursa,"
Aloft
",Bursa,"Odunluk Mahallesi, Akpinar Caddesi"
Bursa,"
İbis Hotel
",Bursa,Altinova Mah Fuar Cad No 67
Sapanca,"
Sarayli Butik Otel
",Sapanca,RÜSTEMPAŞA MAH İPEKYOLU CAD MELİSA SOK N 3
Sapanca,"
Royal Sapanca Otel
",Sapanca,Fatih Mahallesi Fatih Caddesi No 71
