sehir,isim,ilce,adres
İstanbul Otelleri,"
Galata La Bella Hotel
",> Beyoglu,Arapcamii Mah.Erguvan Sok. No:1
İstanbul Otelleri,"
Harbiye Residence
",> Sisli,Cumhuriyet Cad. Selbasi Sok. No 6
İstanbul Otelleri,"
Maywood Hotel
",> Sultanahmet,"Nöbethane Cad. No:25 Sirkeci, Fatih"
İstanbul Otelleri,"
Serene Hotel Istanbul
",> Beyoglu,Asmali Mescit mah. Istiklal cad. Tutuncu cikmazi no: 4/1
İstanbul Otelleri,"
LaresPark Hotel
",> Beyoglu,Topçu Cad. No:23 Taksim
İstanbul Otelleri,"
Nidya Hotel Galataport
",> Beyoglu,"Meclisi Mebusa Cad, N:21"
İstanbul Otelleri,"
Inncity Hotel Nişantaşı
",> Sisli,Halaskargazi Mh. Dershane Sk. No: 20
İstanbul Otelleri,"
Hotel İstanbul Inn
",> Sultanahmet,Alemdar Mah. Alay Köşkü Cad. No:10
İstanbul Oda ve Kahvaltı / Pansiyon,"
Elanaz Hotel Istanbul
",> Sultanahmet,"Orhaniye Cad. No. 34, Sirkeci"
İstanbul Özel Konaklamalar,"
#bunk taksim
",> Sisli,Inonu Mahallesi Papa Roncalli Sokak No: 34 Sisli
İstanbul Otelleri,"
Grand Hotel De Londres
",> Beyoglu,Meşrutiyet Cad. No:53
İstanbul Otelleri,"
Hotel Buyuk Keban
",> Grand Bazaar,Gencturk Cad. 39
İstanbul Otelleri,"
Midtown Hotel
",> Beyoglu,"Lamartin Cad. No 13 Taksim, Beyoğlu"
İstanbul Otelleri,"
Mystic Hotel
",> Sultanahmet,Kucuk Ayasofya Mah. Kucuk Ayasofya Cad. Katip Sinan Cami Sok. No 3
İstanbul Otelleri,"
Harem Otel
",> Uskudar,Selimiye Iskele Cad.Selimiye Ambar Sk No:2
İstanbul Otelleri,"
W Istanbul
",> Besiktas,"Süleyman Seba Cad. No:22 Akaretler, Beşiktaş"
İstanbul Otelleri,"
BEST WESTERN Antea Palace Hotel & Spa
",> Sultanahmet,Kucuk Ayasofya mah. Yusuf Aşkın Sok. No:28
İstanbul Otelleri,"
Alkoclar Keban Hotel
",> Beyoglu,Siraselviler cd. No:17
