sehir,isim,ilce,tel,adres
İl Konya,ASİLDENT,Karatay,0332 351 66 92,"Şerafeddin Cad. No:407  Şemsitebrizi Mah. Karatay, Konya"
İl Batman,KERİM DENTAL,Batman Merkez,0488 214 45 58,"16. Cad. No:1 K:1 Çarşı Mah. Batman Merkez, Batman"
İl İstanbul,TESTO KALİBRASYON LABORATUVARI - TESTO ELEKTRONİK VE TEST ÖLÇÜM CİHAZLARI DIŞ TİC.LTD.ŞTİ.,Şişli,0212 217 01 55,"Vefa Deresi Sok. Gayrettepe İş Mrk. C Blok K:2 D:4 Fulya Mah. Şişli, İstanbul"
İl İstanbul,ZIRKON ZAHN ASYA - ZIRKON ZAHN ASYA PROTEZ SAN. VE TİC.LTD.ŞTİ.,Beşiktaş,0212 236 65 23,"Dereboyu Cad. No:8 D:1 Ortaköy Mah. Beşiktaş, İstanbul"
İl İstanbul,BIO ESTETİK DİŞ LABORATUVARI - BIO-ESTETİK DİŞ LABORATUVARI SAN. VE TİC.LTD.ŞTİ.,Şişli,0212 356 76 06,"Şair Sabri Sok. No:10 Neşe Apt. K:2 D:6 Mecidiyeköy Mah. Şişli, İstanbul"
İl İzmir,DENTAL LABOR - DL FREZE TEKNİK DİŞ PROTEZ LABORATUVARI SAN. VE TİC.LTD.ŞTİ.,Konak,0232 489 00 32,"Bozkurt Cad. No:18  Oğuzlar Mah. Konak, İzmir"
İl Muğla,VELİCEOĞLU DİŞ PROTEZ LABORATUVARI - VELİCEOĞLU DİŞ PROTEZ LABORATUVARI ÖZEL SAĞLIK HİZMETLERİ GIDA HAYVANCILIK SAN.LTD.ŞTİ.,Fethiye,0252 614 45 56,"179. Sok. No:24  Taşyaka Mah. Fethiye, Muğla"
İl Bursa,UZMAN DENTAL ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI - EYRİCE DENTAL LTD.ŞTİ.,Yıldırım,0224 360 40 01,"Vişne Cad. Dikmen Sok. No:21  Duaçınarı Mah. Yıldırım, Bursa"
İl Ankara,AS YILDIRIM DİŞ LABORATUVARI,Çankaya,0312 425 73 61,"Konur Sok. No:34 D:3 Meşrutiyet Mah. Yenişehir, Çankaya, Ankara"
İl Sakarya,AR DİŞ LABORATUVARI,Adapazarı,0264 274 19 26,"Kasaplar Çarşısı Sok. No:5/102  Cumhuriyet Mah. Adapazarı, Sakarya"
İl Isparta,ÖZEL YİĞİT DİŞ LABORATUVARI - ÖZEL YİĞİT DİŞ PROTEZ LABORATUVARI MEDİKAL GIDA SAN.TİC.LTD.ŞTİ.,Isparta Merkez,0246 232 95 12,"126. Cad. No:13  Çelebiler Mah. Isparta Merkez, Isparta"
İl İstanbul,ARTI DENTAL - ARTI DENTAL DİŞ LABORATUVAR HİZMETLERİ TURİZM SAN.TİC.LTD.ŞTİ.,Kağıthane,0212 221 87 87,"Darülaceze Cad. No:36  Gürsel Mah. Kağıthane, İstanbul"
İl Ankara,DMA DİLMAN DİŞ PROTEZ LABORATUVARI İNŞAAT GIDA MADDELERİ SAN. VE TİC.LTD.ŞTİ.,Çankaya,0312 405 70 71,"Adakale Sok. No:18/B-C  Fidanlık Mah. Yenişehir, Çankaya, Ankara"
İl İzmir,ÖZEL AK-BİL DİŞ PROTEZ LABORUTAVARI - ÖZEL AK-BİL DİŞ PROTEZ LABORUTAVARI SAN. VE TİC.LTD.ŞTİ.,Konak,0232 261 88 63,"463. Sok. No:9 K:1 Atilla Mah. Konak, İzmir"
İl İzmir,ÖZEL GÜNEŞ DİŞ PROTEZ LABORATUVARI,Konak,0232 421 15 14,"1447 Sok. No:4 D:5 Alsancak Mah. Konak, İzmir"
İl İstanbul,SEVİM TİTAN KERAMİK DİŞ PROTEZ LABORATUVARI - SEVİM TİTAN KERAMİK DİŞ PROTEZ SAN. VE TİC.LTD.ŞTİ.,Fatih,0212 589 58 15,"Cerrahpaşa Cad. No:1 Işık Palas Apt. K:4 D:12 Aksaray Mah. Fatih, İstanbul"
İl Denizli,SEMERCİOĞLU DİŞ LABORATUVARI,Denizli Merkez,0258 264 68 33,"Turan Güneş Cad. No:8  Merkez Efendi Mah. Denizli Merkez, Denizli"
İl Sinop,MAPİDENT DİŞ PROTEZ LABORATUVARI,Sinop Merkez,0368 260 44 54,"Alaattin Keykubat Cad. No:8 K:3 Meydankapı Mah. Sinop Merkez, Sinop"
İl İstanbul,CEBECİ DENTAL,Maltepe,0216 399 90 80,"Atatürk Cad. Beşevler Sok. No:7  Bağlarbaşı Mah. Maltepe, İstanbul"
