İl Bursa,UZMAN DENTAL ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI - EYRİCE DENTAL LTD.ŞTİ.,Yıldırım,0224 360 40 01,"Vişne Cad. Dikmen Sok. No:21  Duaçınarı Mah. Yıldırım, Bursa"
İl Bursa,ÖZEL MİR DİŞ PROTEZ LABORATUVARI,Osmangazi,0224 220 82 60,"İnönü Cad. No:23  Demirtaşpaşa Mah. Osmangazi, Bursa"
İl İstanbul,DİJİTAL PANORAMİK,Fatih,0212 523 26 22,"Akdeniz Cad. No:70 K:2 Akşemsettin Mah. Fatih, İstanbul"
İl İstanbul,ESELER DİŞ DEPOSU VE LABORATUVARI - ESELER DİŞ DEPOSU VE LABORATUVARI LTD.ŞTİ.,Esenler,0212 629 54 02,"839 Sok. No:9  Birlik Mah. Esenler, İstanbul"
İl Gaziantep,PRODENT DİŞ LABOTUVARI,Şahinbey,0342 221 23 20,"Dr. İbrahim Söylemez Sok. No:15 K:1 D:1 Alaybey Mah. Şahinbey, Gaziantep"
İl İstanbul,BIO ESTETİK DİŞ LABORATUVARI - BIO-ESTETİK DİŞ LABORATUVARI SAN. VE TİC.LTD.ŞTİ.,Şişli,0212 356 76 06,"Şair Sabri Sok. No:10 Neşe Apt. K:2 D:6 Mecidiyeköy Mah. Şişli, İstanbul"
İl İzmir,ÖZEL AK-BİL DİŞ PROTEZ LABORUTAVARI - ÖZEL AK-BİL DİŞ PROTEZ LABORUTAVARI SAN. VE TİC.LTD.ŞTİ.,Konak,0232 261 88 63,"463. Sok. No:9 K:1 Atilla Mah. Konak, İzmir"
İl İstanbul,IMPERIENCE DENTAL - IMPERIENCE MEDİKAL SAN. VE TİC.LTD.ŞTİ.,Maltepe,0216 489 22 24,"Yıldırım Sok. No:21  Küçükyalı Mah. Maltepe, İstanbul"
İl İstanbul,SIVP DENTAL - SIVP DENTAL LABORATUVARI DİŞÇİLİK MALZEMELERİ SAN. VE TİC.LTD.ŞTİ.,Zeytinburnu,0212 483 43 77,"Serçe Kale Sok. No:9 K:4 Maltepe Mah. Zeytinburnu, İstanbul"
İl İstanbul,TEKNODENT - TEKNODENT SAĞLIK VE RÖNTGEN LABORATUAR HİZMETLERİ TİC.LTD.ŞTİ.,Kadıköy,0216 360 73 30,"Bağdat Cad. No:241 Sim Apt. D:5 Göztepe Mah. Kadıköy, İstanbul"
İl Ankara,DEMİR YILDIZ,Çankaya,0312 419 00 38,"Bayındır Sok. No:8  Kocatepe Mah. Yenişehir, Çankaya, Ankara"
İl Bursa,MARMARA DİŞ PROTEZ LABORATUVARI - MARMARA DİŞ PROTEZ LABORATUVAR HİZMETLERİ TİC.LTD.ŞTİ.,Osmangazi,0224 220 86 98,"Veziri Cad. No:4  Tahtakale Mah. Osmangazi, Bursa"
sehir,isim,ilce,tel,adres
İl İstanbul,ATAK DENTAL - ATAK DİŞ LABORATUVAR HİZMETLERİ LTD.ŞTİ.,Ataşehir,0216 469 22 53,"Huzur Hoca Cad. Savaş Sok. No:15 Yıldız İş Mrk. K:4 İçerenköy Mah. Ataşehir, İstanbul"
İl İstanbul,ANADOLU DİŞ LABORATUVARI,Beşiktaş,0212 260 18 30,"Uzuncaova Cad. No:5 D:1 Türkali Mah. Beşiktaş, İstanbul"
İl Tekirdağ,MALKARA ANALİZ - MALKARA ANALİZ VE KONTROL HİZMETLERİ İÇ VE DIŞ TİC.A.Ş.,Malkara,0282 427 84 84,"Fethiye Özver Cad. No:29  Cami Atik Mah. Malkara, Tekirdağ"
İl Antalya,REFORM DENTAL DİŞ LABORATUVARI,Muratpaşa,0242 243 31 68,"53. Sok. No:20 Korhan İşh. K:1 D:7-8 Kışla Mah. Muratpaşa, Antalya"
İl İstanbul,ÖZEL ATLAS DENTAL LABORATUVARI - ÖZEL ATLAS ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI LTD.ŞTİ.,Kadıköy,0216 418 38 78,"Reşit Efendi Sok. No:31 D:5 Osmanağa Mah. Kadıköy, İstanbul"
İl Bursa,VİA DİŞ PROTEZ - V.İ.A. DİŞ PROTEZ TIBBİ MALZEME VE İNŞAAT SAN.TİC.LTD.ŞTİ.,Yıldırım,0224 255 92 33,"Karlıdağ Cad. No:9  Anadolu Mah. Yıldırım, Bursa"
İl İstanbul,A PLUS DİŞ LABORATUVARI - A+ DİŞ PROTEZ SAĞLIK HİZMETLERİ İTHALAT İHRACAT TİC.LTD.ŞTİ.,Bakırköy,0212 573 00 90,"Mektep Sok. No:52 Hicret Apt. D:2 Şenlikköy Mah. Florya, Bakırköy, İstanbul"
İl Sakarya,ÖZEL ÖZ DENTAL DİŞ LABORATUVARI,Adapazarı,0264 273 92 67,"Çark Cad. No:19 K:2 Semerciler Mah. Adapazarı, Sakarya"
İl Kahramanmaraş,UĞUR DİŞ LABORATUVARI,Elbistan,0344 415 46 86,"İnciler Sok. No:20  Güneşli Mah. Elbistan, Kahramanmaraş"
İl İstanbul,DERE DİŞ PROTEZ LABORATUVARI,Kadıköy,0216 336 62 26,"Kuşdili Cad. No:48  Osmanağa Mah. Kadıköy, İstanbul"
İl İstanbul,İsa Ağırbaş,Bahçelievler,0212 441 76 48,"Amiral Necdet Uran Cad. No:4  Bahçelievler Mah. Bahçelievler, İstanbul"
İl İstanbul,DENWEX - VEKS SAĞLIK BİLİŞİM REKLAM HİZMETLERİ SAN. VE TİC.LTD.ŞTİ.,Esenyurt,0212 672 40 42,"1725. Sok. No:64 Mimsan San. Sit. 7. Blok Sanayi Mah. Esenyurt, İstanbul"
İl Bursa,MARMARA DİŞ PROTEZ LABORATUVARI - MARMARA DİŞ PROTEZ LABORATUVAR HİZMETLERİ TİC.LTD.ŞTİ.,Osmangazi,0224 220 86 98,"Veziri Cad. No:4  Tahtakale Mah. Osmangazi, Bursa"
İl İstanbul,BAHAR DENTAL DİŞ LABORATUVARI,Küçükçekmece,0212 428 36 10,"Hayırlı Cad. No:45/1-A  Kartaltepe Mah. Küçükçekmece, İstanbul"
İl İstanbul,HAKİM DİŞ PROTEZ LABORATUVARI - HAKİM DİŞ PROTEZ LABORATUVAR HİZMETLERİ SAN. VE TİC.LTD.ŞTİ.,Bakırköy,0212 573 34 66,"Ülkem Sok. No:37  Şenlikköy Mah. Bakırköy, İstanbul"
İl İzmir,COM PRO DENT - COM PRO DENT BİLGİSAYAR PROGRAMLAMA DENTAL MEDİKAL SAN. VE TİC.LTD.ŞTİ.,Gaziemir,0232 210 70 77,"351. Sok. No:8 Şükrü Ölçer İş Mrk. Binbaşı Reşatbey Mah. Gaziemir, İzmir"
İl Ankara,DEMİR YILDIZ,Çankaya,0312 419 00 38,"Bayındır Sok. No:8  Kocatepe Mah. Yenişehir, Çankaya, Ankara"
İl Kahramanmaraş,YAPITEST - YAPITEST İNŞAAT EKSPERLİK LABORATUVAR İÇ VE DIŞ TİC.LTD.ŞTİ.,Kahramanmaraş Merkez,0344 215 07 12,"32195. Sok. No:5/34 Kentpark 4 Apt. Haydar Bey Mah. Kahramanmaraş Merkez, Kahramanmaraş"
İl Antalya,KIZILIRMAK DİŞ DEPOSU - KIZILIRMAK LABORATUVAR MALZEMELERİ DİŞ DEPOSU SAN. VE TİC.LTD.ŞTİ.,Muratpaşa,0242 248 60 01,"147. Sok.  Altındağ Mah. Muratpaşa, Antalya"
İl Antalya,GÜNEY DİŞ LABORATUVARI,Alanya,0242 511 88 12,"Şevki Bey Sok. No:2  Şekerhane Mah. Alanya, Antalya"
İl Trabzon,İVOÇLAR DİŞ LABORATUVARI,Trabzon Merkez,0462 322 35 03,"Yavuz Selim Blv. No:151 Canbakkal İşh. Gazipaşa Mah. Trabzon Merkez, Trabzon"
İl Ankara,ADA ÇOK AMAÇLI DİŞ PROTEZ LABORATUVARI,Sincan,0312 270 00 06,"Lale Cad. Kutsal Sok. No:15 D:2 Atatürk Mah. Sincan, Ankara"
İl Konya,ORAL DENTAL DİŞ LABORATUVARI,Karatay,0332 350 26 93,"Şeyh Ziya Sok. No:5 K:3 Şemsitebrizi Mah. Karatay, Konya"
İl Ankara,LİYA LABORATUVAR TEST CİHAZLARI - LİYA LABORATUVAR TEST CİHAZLARI İMALAT SAN. VE DIŞ TİC.LTD.ŞTİ.,Yenimahalle,0312 395 87 52,"1475 Sok. No:21 Emirağa San. Sit. İvedik Osb Mah. Yenimahalle, Ankara"
İl Ankara,İKRA - İKRA LTD.ŞTİ.,Çankaya,0312 417 58 29,"Karanfil Sok. No:47 D:13 Kızılay Mah. Çankaya, Ankara"
İl Ankara,ERKOÇ DİŞ PROTEZ LABORATUVARI,Çankaya,0312 417 58 35,"Dikmen Cad. No:286 D:1 Aydınlar Mah. Dikmen, Çankaya, Ankara"
İl İstanbul,TOLKİM DIŞ TİCARET - TOLKİM DIŞ TİC.LTD.ŞTİ.,Kadıköy,0216 327 37 15,"Ali Nazime Sok. No:34  Koşuyolu Mah. Kadıköy, İstanbul"
İl Mersin,TAŞ DİŞ LABORATUVARI,Akdeniz,0324 237 41 19,"5221. Sok. No:15 Tüfad İşh. K:4 Cami Şerif Mah. Akdeniz, Mersin"
İl İstanbul,TKM KALİBRASYON - TEKNOLOJİK KALİBRASYON VE DANIŞMANLIK HİZMETLERİ SAN. VE DIŞ TİC.LTD.ŞTİ.,Bakırköy,0212 660 87 81,"Ümraniye Sok. No:11/B  Osmaniye Mah. Bakırköy, İstanbul"
İl Antalya,DİŞTEK - DİŞTEK DİŞÇİLİK SAN. VE TİC.LTD.ŞTİ.,Muratpaşa,0242 244 44 49,"485 Sok. No:5/6 Fındıklı Apt. Yüksekalan Mah. Muratpaşa, Antalya"
İl İstanbul,YILMAZLAR DİŞ PROTEZ LABORATUVARI,Fatih,0212 621 63 77,"Şehit Teğmen Mehmet Sarper Alus Sok. No:22  Akşemsettin Mah. Fatih, İstanbul"
İl İstanbul,DENTAL DİZAYN,Kadıköy,0216 414 22 53,"Karadut Sok. No:13/1  Osmanağa Mah. Kadıköy, İstanbul"
İl Adana,AS KALİBRASYON - AS KALİBRASYON PAZARLAMA İÇ VE DIŞ TİC.SAN.LTD.ŞTİ.,Çukurova,0322 247 07 43,"Süleyman Demirel Blv. No:43  Güzelyalı Mah. Çukurova, Adana"
İl Mersin,MERSİN DİŞ LABORATUVARI - MERSİN DİŞ LABORATUVARI SAN. VE TİC.LTD.ŞTİ.,Akdeniz,0324 238 23 02,"103. Cad. No:77/A  Hamidiye Mah. Akdeniz, Mersin"
İl Ankara,DENTALAS DİŞ LABORATUVARI - DENTALAS SAĞLIK ARAÇLARI TİC.LTD.ŞTİ.,Çankaya,0312 418 42 82,"Menekşe Sok. No:29/1  Kızılay Mah. Çankaya, Ankara"
